File_1,File_2,seq_similarity,length_ratio,cosine_similarity,jaccard_similarity,depth_difference,Label
submission1.py,submission2.py,1.0,1.0,1.0,1.0,0,1
submission1.py,submission3.py,0.9782608695652174,1.0,0.6530220711848942,0.75,0,0
submission1.py,submission4.py,0.7867867867867868,0.7076923076923077,0.43609415904670895,0.7777777777777778,0,1
submission1.py,submission5.py,0.9747292418772563,0.9928057553956835,0.6323649049436632,0.75,0,0
submission2.py,submission3.py,0.9782608695652174,1.0,0.6530220711848942,0.75,0,0
submission2.py,submission4.py,0.7867867867867868,0.7076923076923077,0.43609415904670895,0.7777777777777778,0,1
submission2.py,submission5.py,0.9747292418772563,0.9928057553956835,0.6323649049436632,0.75,0,0
submission3.py,submission4.py,0.6066066066066066,0.7076923076923077,0.2885457707558821,0.6,0,0
submission3.py,submission5.py,0.9819494584837545,0.9928057553956835,0.6149913328127643,0.75,0,0
submission4.py,submission5.py,0.6047904191616766,0.7128205128205128,0.279418149779928,0.6,0,0
submission6.py,submission7.py,0.9979814291481631,0.9991928974979822,0.9585747392228703,1.0,0,1
submission8.py,submission9.py,0.9976869699306091,0.9953846153846154,0.9398483645479533,1.0,0,1
submission10.py,submission11.py,0.37037037037037035,0.6304347826086957,0.19957386695081922,0.47058823529411764,0,0
submission12.py,submission13.py,0.5848563968668408,0.8637469586374696,0.2723907932285845,0.5263157894736842,3,0
submission14.py,submission15.py,0.982335200344679,0.9854576561163387,0.8557922077069279,1.0,0,1
submission16.py,submission17.py,0.4723694171082513,0.9089595375722543,0.5673341400987473,0.696969696969697,0,0
submission18.py,submission19.py,0.9373764007910349,0.9812799303439269,0.8414064600451157,1.0,0,1
submission20.py,submission21.py,0.749483060283124,0.9933417882054534,0.7814554297933569,1.0,0,1
submission22.py,submission23.py,0.5343092406221409,0.9930707512764405,0.7358587958221444,0.8611111111111112,0,0
submission24.py,submission25.py,0.662227770842003,0.9712879409351928,0.6387220922069234,1.0,0,1
submission26.py,submission27.py,0.9358070500927643,0.9903988183161004,0.6916947747851444,1.0,0,1
submission28.py,submission29.py,0.9954223886808157,1.0,0.9552301658911491,1.0,0,1
submission30.py,submission31.py,0.5240847784200385,0.9098436062557498,0.6428768216632004,0.75,0,0
submission31.py,submission32.py,1.0,1.0,1.0,1.0,0,1
submission33.py,submission34.py,0.5370315727353202,0.6572127139364303,0.5463323594263669,0.78125,1,1
submission35.py,submission36.py,0.2928930366116296,0.8462557985420809,0.7237048533270062,0.875,1,0
submission35.py,submission37.py,0.9929632525410477,0.9968774395003903,0.8972942519854253,1.0,0,1
submission36.py,submission37.py,0.1878136200716846,0.8489065606361829,0.657385821551958,0.875,1,0
submission35.py,submission38.py,0.10821917808219178,0.7772367620206938,0.5310518701791943,0.7037037037037037,2,0
submission36.py,submission38.py,0.09708121827411167,0.9184418746195983,0.47853115923404155,0.6785714285714286,1,0
submission37.py,submission38.py,0.10875512995896033,0.7796713329275715,0.47069714883807584,0.7037037037037037,2,0
submission35.py,submission39.py,0.99375,0.995323460639127,0.9403816179510386,1.0,0,1
submission36.py,submission39.py,0.17836676217765043,0.8502319416832339,0.6906156914419304,0.875,1,0
submission37.py,submission39.py,0.9882995319812793,0.9984411535463756,0.8822060442872282,1.0,0,0
submission38.py,submission39.py,0.12576896787423103,0.7808886183810103,0.5007169332589578,0.7037037037037037,2,0
submission40.py,submission41.py,0.9209365456396336,0.9898717083051992,0.8719667961558605,0.9047619047619048,0,0
submission40.py,submission42.py,0.9675675675675676,0.9812583668005355,0.8530331862324418,1.0,0,1
submission41.py,submission42.py,0.9008403361344538,0.9912985274431058,0.8349824712224996,0.9047619047619048,0,0
submission40.py,submission43.py,0.733275412684622,0.7377956718671363,0.8094752003601517,0.8333333333333334,0,0
submission41.py,submission43.py,0.7283737024221453,0.7453447408152994,0.7890514422359283,0.76,0,0
submission42.py,submission43.py,0.6095949439816145,0.7518872672370408,0.7787315680919288,0.8333333333333334,0,0
submission40.py,submission44.py,0.8668232136866824,0.9676567656765677,0.8597733764973229,1.0,0,1
submission41.py,submission44.py,0.8578104138851802,0.9775577557755776,0.7827207507661419,0.9047619047619048,0,0
submission42.py,submission44.py,0.521103356596876,0.9861386138613861,0.8100461919812593,1.0,0,0
submission43.py,submission44.py,0.23929183323814962,0.762455963764469,0.7396171267189994,0.8333333333333334,0,0
submission45.py,submission46.py,0.30819092516205066,0.9744037230948226,0.7215046367648824,0.8260869565217391,1,0
submission45.py,submission47.py,0.633500147188696,0.9727061556329849,0.729653770654121,1.0,0,1
submission46.py,submission47.py,0.3190932868352223,0.9982578397212544,0.6573065072479115,0.8260869565217391,1,0
submission45.py,submission48.py,0.2174984596426371,0.937910447761194,0.7394145810072409,0.8636363636363636,0,0
submission46.py,submission48.py,0.24376899696048632,0.9139034322280396,0.6436372706638027,0.782608695652174,1,0
submission47.py,submission48.py,0.2180382629820832,0.9123112659698026,0.6315859643716926,0.8636363636363636,0,0
submission45.py,submission49.py,0.446539027982327,0.9738372093023255,0.7191610315012736,1.0,0,0
submission46.py,submission49.py,0.2192497819133469,0.9994186046511628,0.6625894584244347,0.8260869565217391,1,0
submission47.py,submission49.py,0.7437536316095293,0.9988385598141696,0.8638652732966557,1.0,0,1
submission48.py,submission49.py,0.15861440291704648,0.9133720930232558,0.6283375719104279,0.8636363636363636,0,0
submission50.py,submission51.py,0.13626460685284214,0.589735516372796,0.5440269606861552,0.6785714285714286,3,0
submission50.py,submission52.py,0.7944715447154471,0.9363979848866498,0.8098487002768374,1.0,2,1
